epoch,client_0_accuracy,client_0_loss,client_1_accuracy,client_1_loss,client_2_accuracy,client_2_loss,client_3_accuracy,client_3_loss,client_4_accuracy,client_4_loss,client_5_accuracy,client_5_loss,client_6_accuracy,client_6_loss,client_7_accuracy,client_7_loss,client_8_accuracy,client_8_loss,client_9_accuracy,client_9_loss,avg_accuracy,avg_loss
66,0.7593,2.5391377853393555,0.7593,2.5391377853393555,0.7593,2.5391377853393555,0.7593,2.5391377853393555,0.7593,2.5391377853393555,0.7593,2.5391377853393555,0.7593,2.5391377853393555,0.7593,2.5391377853393555,0.7593,2.5391377853393555,0.7593,2.5391377853393555,0.7592999999999999,2.5391377853393555
67,0.7572,2.5708713138580324,0.7572,2.5708713138580324,0.7572,2.5708713138580324,0.7572,2.5708713138580324,0.7572,2.5708713138580324,0.7572,2.5708713138580324,0.7572,2.5708713138580324,0.7572,2.5708713138580324,0.7572,2.5708713138580324,0.7572,2.5708713138580324,0.7572,2.5708713138580324
68,0.7579,2.577933837890625,0.7579,2.577933837890625,0.7579,2.577933837890625,0.7579,2.577933837890625,0.7579,2.577933837890625,0.7579,2.577933837890625,0.7579,2.577933837890625,0.7579,2.577933837890625,0.7579,2.577933837890625,0.7579,2.577933837890625,0.7579,2.577933837890625
69,0.7627,2.56589341506958,0.7627,2.56589341506958,0.7627,2.56589341506958,0.7627,2.56589341506958,0.7627,2.56589341506958,0.7627,2.56589341506958,0.7627,2.56589341506958,0.7627,2.56589341506958,0.7627,2.56589341506958,0.7627,2.56589341506958,0.7626999999999999,2.5658934150695805
70,0.7656,2.5641669456481933,0.7656,2.5641669456481933,0.7656,2.5641669456481933,0.7656,2.5641669456481933,0.7656,2.5641669456481933,0.7656,2.5641669456481933,0.7656,2.5641669456481933,0.7656,2.5641669456481933,0.7656,2.5641669456481933,0.7656,2.5641669456481933,0.7656,2.5641669456481933
71,0.7663,2.573834762573242,0.7663,2.573834762573242,0.7663,2.573834762573242,0.7663,2.573834762573242,0.7663,2.573834762573242,0.7663,2.573834762573242,0.7663,2.573834762573242,0.7663,2.573834762573242,0.7663,2.573834762573242,0.7663,2.573834762573242,0.7663,2.573834762573242
72,0.7702,2.588895562362671,0.7702,2.588895562362671,0.7702,2.588895562362671,0.7702,2.588895562362671,0.7702,2.588895562362671,0.7702,2.588895562362671,0.7702,2.588895562362671,0.7702,2.588895562362671,0.7702,2.588895562362671,0.7702,2.588895562362671,0.7702,2.5888955623626715
73,0.7713,2.587560087966919,0.7713,2.587560087966919,0.7713,2.587560087966919,0.7713,2.587560087966919,0.7713,2.587560087966919,0.7713,2.587560087966919,0.7713,2.587560087966919,0.7713,2.587560087966919,0.7713,2.587560087966919,0.7713,2.587560087966919,0.7713,2.5875600879669194
74,0.7727,2.577626770019531,0.7727,2.577626770019531,0.7727,2.577626770019531,0.7727,2.577626770019531,0.7727,2.577626770019531,0.7727,2.577626770019531,0.7727,2.577626770019531,0.7727,2.577626770019531,0.7727,2.577626770019531,0.7727,2.577626770019531,0.7727000000000002,2.577626770019531
75,0.7764,2.5716053871154787,0.7764,2.5716053871154787,0.7764,2.5716053871154787,0.7764,2.5716053871154787,0.7764,2.5716053871154787,0.7764,2.5716053871154787,0.7764,2.5716053871154787,0.7764,2.5716053871154787,0.7764,2.5716053871154787,0.7764,2.5716053871154787,0.7764,2.5716053871154787
76,0.7781,2.580518633270264,0.7781,2.580518633270264,0.7781,2.580518633270264,0.7781,2.580518633270264,0.7781,2.580518633270264,0.7781,2.580518633270264,0.7781,2.580518633270264,0.7781,2.580518633270264,0.7781,2.580518633270264,0.7781,2.580518633270264,0.7781,2.5805186332702634
77,0.781,2.582944199371338,0.781,2.582944199371338,0.781,2.582944199371338,0.781,2.582944199371338,0.781,2.582944199371338,0.781,2.582944199371338,0.781,2.582944199371338,0.781,2.582944199371338,0.781,2.582944199371338,0.781,2.582944199371338,0.7809999999999999,2.5829441993713376
78,0.7832,2.583607152175903,0.7832,2.583607152175903,0.7832,2.583607152175903,0.7832,2.583607152175903,0.7832,2.583607152175903,0.7832,2.583607152175903,0.7832,2.583607152175903,0.7832,2.583607152175903,0.7832,2.583607152175903,0.7832,2.583607152175903,0.7832,2.5836071521759036
79,0.7878,2.5783809425354005,0.7878,2.5783809425354005,0.7878,2.5783809425354005,0.7878,2.5783809425354005,0.7878,2.5783809425354005,0.7878,2.5783809425354005,0.7878,2.5783809425354005,0.7878,2.5783809425354005,0.7878,2.5783809425354005,0.7878,2.5783809425354005,0.7878,2.5783809425354005
80,0.7883,2.5845457580566404,0.7883,2.5845457580566404,0.7883,2.5845457580566404,0.7883,2.5845457580566404,0.7883,2.5845457580566404,0.7883,2.5845457580566404,0.7883,2.5845457580566404,0.7883,2.5845457580566404,0.7883,2.5845457580566404,0.7883,2.5845457580566404,0.7882999999999999,2.584545758056641
81,0.7884,2.5977325634002684,0.7884,2.5977325634002684,0.7884,2.5977325634002684,0.7884,2.5977325634002684,0.7884,2.5977325634002684,0.7884,2.5977325634002684,0.7884,2.5977325634002684,0.7884,2.5977325634002684,0.7884,2.5977325634002684,0.7884,2.5977325634002684,0.7884,2.5977325634002684
82,0.7911,2.611257958984375,0.7911,2.611257958984375,0.7911,2.611257958984375,0.7911,2.611257958984375,0.7911,2.611257958984375,0.7911,2.611257958984375,0.7911,2.611257958984375,0.7911,2.611257958984375,0.7911,2.611257958984375,0.7911,2.611257958984375,0.7911,2.611257958984375
83,0.7925,2.6150645950317384,0.7925,2.6150645950317384,0.7925,2.6150645950317384,0.7925,2.6150645950317384,0.7925,2.6150645950317384,0.7925,2.6150645950317384,0.7925,2.6150645950317384,0.7925,2.6150645950317384,0.7925,2.6150645950317384,0.7925,2.6150645950317384,0.7925000000000001,2.615064595031739
84,0.7947,2.616758115386963,0.7947,2.616758115386963,0.7947,2.616758115386963,0.7947,2.616758115386963,0.7947,2.616758115386963,0.7947,2.616758115386963,0.7947,2.616758115386963,0.7947,2.616758115386963,0.7947,2.616758115386963,0.7947,2.616758115386963,0.7947,2.6167581153869635
85,0.7964,2.631565163421631,0.7964,2.631565163421631,0.7964,2.631565163421631,0.7964,2.631565163421631,0.7964,2.631565163421631,0.7964,2.631565163421631,0.7964,2.631565163421631,0.7964,2.631565163421631,0.7964,2.631565163421631,0.7964,2.631565163421631,0.7964,2.631565163421631
